Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
Petukhov2021_ileum_molecules,"mRNAs (gene name, locations, area, brightness, quality score) for selected mouse ileum region",3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Petukhov2021_ileum/molecules.rds,MERFISH
Petukhov2021_ileum_dapi,DAPI signal for selected mouse ileum region,3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,EBImage,Rds,MerfishData/Petukhov2021_ileum/dapi.rds,MERFISH
Petukhov2021_ileum_membrane,Na+/K+ - ATPase immunofluorescence signal for selected mouse ileum region,3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,EBImage,Rds,MerfishData/Petukhov2021_ileum/membrane.rds,MERFISH
Petukhov2021_ileum_baysor_segmentation,mRNA partitioning into cells based on Baysor segmentation (based on mRNA only),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Petukhov2021_ileum/segmentation_baysor.rds,MERFISH
Petukhov2021_ileum_baysor_counts,Counts matrix of molecules per cell (Baysor segmentation),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,matrix,Rds,MerfishData/Petukhov2021_ileum/counts_baysor.rds,MERFISH
Petukhov2021_ileum_baysor_coldata,Cell metadata including spatial coordinates and cell type assignments (Baysor segmentation),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Petukhov2021_ileum/coldata_baysor.rds,MERFISH
Petukhov2021_ileum_baysor_polygons,Polygon representation of cell boundaries (Baysor segmentation),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,matrix,Rds,MerfishData/Petukhov2021_ileum/polygons_baysor.rds,MERFISH
Petukhov2021_ileum_cellpose_counts,Counts matrix of molecules per cell (Cellpose segmentation),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,matrix,Rds,MerfishData/Petukhov2021_ileum/counts_cellpose.rds,MERFISH
Petukhov2021_ileum_cellpose_coldata,Cell metadata including spatial coordinates and cell type assignments (Cellpose segmentation),3.16,mm10,Zip,https://doi.org/10.5061/dryad.jm63xsjb2,16-Sep-21,Mus musculus,10090,NA,Boston Children's Hospital,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Petukhov2021_ileum/coldata_cellpose.rds,MERFISH
Mofitt2018_hypothalamus_segmentation,Spatial feature table for segmented mouse hypothalamus region,3.16,mm10,Zip,https://doi.org/10.5061/dryad.8t8s248,3-Nov-18,Mus musculus,10090,NA,Howard Hughes Medical Institute,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Mofitt2018_hypothalamus/segmentation.rds,MERFISH
Mofitt2018_hypothalamus_molecules,"mRNAs (gene name, locations, area, brightness, quality score) for selected mouse hypothalamus region",3.16,mm10,Zip,https://doi.org/10.5061/dryad.8t8s248,3-Nov-18,Mus musculus,10090,NA,Howard Hughes Medical Institute,Ludwig Geistlinger <ludwig_geistlinger@hms.harvard.edu>,data.frame,Rds,MerfishData/Mofitt2018_hypothalamus/molecules.rds,MERFISH
